time,download,upload,ping
00:00,6.32,4.2,43.31
01:00,6.29,4.18,38.2
02:00,6.27,3.74,39.7
03:00,6.3,3.69,40.38
04:00,6.4,4.06,38.85
05:00,6.34,3.87,39.77
06:00,6.36,4.03,40.27
07:00,6.41,3.79,39.22
08:00,6.41,3.24,38.35
09:00,6.25,4.57,39.07
10:00,5.84,4.8,40.33
11:00,6.02,4.64,41.37
12:00,6.35,4.38,38.17
13:00,6.24,4.38,40.53
14:00,6.26,3.46,40.04
15:00,6.32,4.73,37.36
16:00,5.59,5.2,85.44
17:00,6.31,4.86,38.81
18:00,6.32,5.31,41.69
19:00,4.92,5.3,40.84
20:00,5.89,5.29,41.03
21:00,5.88,5.38,38.38
22:00,4.59,5.28,43.06
23:00,5.69,5.59,38.69
23:30,6.41,5.12,38.66
