time,download,upload,ping
00:00,3.62,2.63,59.15
01:00,4.52,2.26,47.82
02:00,6.74,5.74,37.33
03:00,6.94,4.45,36.36
04:00,6.2,5.59,36.21
05:00,6.41,5.35,36.59
06:00,6.35,5.85,33.4
07:00,4.56,4.82,33.92
08:00,6.11,5.42,33.36
09:00,6.36,3.17,32.3
10:00,2.42,4.51,36.69
11:00,10.61,3.83,40.42
12:00,7.94,7.4,35.54
13:00,4.57,5.32,36.37
14:00,2.75,3.68,124.53
15:00,4.05,3.88,38.4
16:00,2.77,4.74,44.15
17:00,5.14,4.95,39.0
18:00,4.06,4.21,42.34
19:00,4.26,4.83,35.52
20:00,3.2,3.89,38.51
21:00,7.33,2.32,38.63
22:00,0.96,4.47,37.32
23:00,2.13,4.95,33.38
23:30,2.64,5.45,35.36
